timeperiod_sortable,timeperiod_label,timeperiod_type,indicator,llo,area_name,area_code,value
20190101,2019,Annual,Gender pay gap,Londoners are treated fairly and with dignity,London,,0.176
20190101,2019,Annual,Gender pay gap,Londoners are treated fairly and with dignity,UK,,0.174
20200101,2020,Annual,Gender pay gap,Londoners are treated fairly and with dignity,London,,0.177
20200101,2020,Annual,Gender pay gap,Londoners are treated fairly and with dignity,UK,,0.148
20210101,2021,Annual,Gender pay gap,Londoners are treated fairly and with dignity,London,,0.161
20210101,2021,Annual,Gender pay gap,Londoners are treated fairly and with dignity,UK,,0.151
20220101,2022,Annual,Gender pay gap,Londoners are treated fairly and with dignity,London,,0.125
20220101,2022,Annual,Gender pay gap,Londoners are treated fairly and with dignity,UK,,0.144
20230101,2023,Annual,Gender pay gap,Londoners are treated fairly and with dignity,London,,0.143
20230101,2023,Annual,Gender pay gap,Londoners are treated fairly and with dignity,UK,,0.142
20240101,2024,Annual,Gender pay gap,Londoners are treated fairly and with dignity,London,,0.149
20240101,2024,Annual,Gender pay gap,Londoners are treated fairly and with dignity,UK,,0.131
20170101,2017,Annual,Ethnicity pay gap,Londoners are treated fairly and with dignity,London,,0.283
20170101,2017,Annual,Ethnicity pay gap,Londoners are treated fairly and with dignity,Rest of England and Wales,,0.083
20180101,2018,Annual,Ethnicity pay gap,Londoners are treated fairly and with dignity,London,,0.266
20180101,2018,Annual,Ethnicity pay gap,Londoners are treated fairly and with dignity,Rest of England and Wales,,0.087
20190101,2019,Annual,Ethnicity pay gap,Londoners are treated fairly and with dignity,London,,0.282
20190101,2019,Annual,Ethnicity pay gap,Londoners are treated fairly and with dignity,Rest of England and Wales,,0.055
20200101,2020,Annual,Ethnicity pay gap,Londoners are treated fairly and with dignity,London,,0.237
20200101,2020,Annual,Ethnicity pay gap,Londoners are treated fairly and with dignity,Rest of England and Wales,,0.029
20210101,2021,Annual,Ethnicity pay gap,Londoners are treated fairly and with dignity,London,,0.233
20210101,2021,Annual,Ethnicity pay gap,Londoners are treated fairly and with dignity,Rest of England and Wales,,0.025
20220101,2022,Annual,Ethnicity pay gap,Londoners are treated fairly and with dignity,London,,0.225
20220101,2022,Annual,Ethnicity pay gap,Londoners are treated fairly and with dignity,Rest of England and Wales,,0.009
20140101,2014,Annual,Disability pay gap,Londoners are treated fairly and with dignity,London,,0.142
20140101,2014,Annual,Disability pay gap,Londoners are treated fairly and with dignity,UK,,0.119
20150101,2015,Annual,Disability pay gap,Londoners are treated fairly and with dignity,London,,0.152
20150101,2015,Annual,Disability pay gap,Londoners are treated fairly and with dignity,UK,,0.125
20160101,2016,Annual,Disability pay gap,Londoners are treated fairly and with dignity,London,,0.17
20160101,2016,Annual,Disability pay gap,Londoners are treated fairly and with dignity,UK,,0.128
20170101,2017,Annual,Disability pay gap,Londoners are treated fairly and with dignity,London,,0.123
20170101,2017,Annual,Disability pay gap,Londoners are treated fairly and with dignity,UK,,0.132
20180101,2018,Annual,Disability pay gap,Londoners are treated fairly and with dignity,London,,0.17
20180101,2018,Annual,Disability pay gap,Londoners are treated fairly and with dignity,UK,,0.127
20190101,2019,Annual,Disability pay gap,Londoners are treated fairly and with dignity,London,,0.166
20190101,2019,Annual,Disability pay gap,Londoners are treated fairly and with dignity,UK,,0.148
20200101,2020,Annual,Disability pay gap,Londoners are treated fairly and with dignity,London,,0.163
20200101,2020,Annual,Disability pay gap,Londoners are treated fairly and with dignity,UK,,0.137
20210101,2021,Annual,Disability pay gap,Londoners are treated fairly and with dignity,London,,0.1
20210101,2021,Annual,Disability pay gap,Londoners are treated fairly and with dignity,UK,,0.145
20220101,2022,Annual,Disability pay gap,Londoners are treated fairly and with dignity,London,,0.1
20220101,2022,Annual,Disability pay gap,Londoners are treated fairly and with dignity,UK,,0.143
